sample_index,chain,draw,sigma_ap_0p5_arcsec_km_s,m2l_ratio,m2l_ratio_slope,total_stellar_mass_Msun,log10_total_stellar_mass,halo_mge_mass_Msun,kappa_s_halo,gammain_halo,Rs_halo,H0_cosmo,omega_m_cosmo
26261,3,2261,153.96297602689063,2.288893132470019,0.07598551554068578,196124075524.55,11.292530909453971,5280543935534.464,0.1697610581502097,1.0812735055567642,3.3166767035335845,88.07252082238861,0.3682971710392625
9004,1,1004,154.1887257925479,3.43533158200819,0.25490786781601327,258695587900.72885,11.412789021810061,1705615556264.428,0.12239279611707396,1.2664406163948532,2.1753731400889804,87.7124245977661,0.5103742678329755
13774,1,5774,135.69351322690014,3.065841475102704,0.25296044741597035,248403757861.52777,11.395158161577733,12741282045947.957,0.020166894524355026,1.5643218142163393,13.494217995205437,83.2965192386098,0.14199820676562105
57485,7,1485,141.1623562397988,2.184097965398374,0.1438129557691642,206767686419.50684,11.315482668337642,11032819044974.91,0.05113276648514114,1.384081034337026,7.773703078551975,75.7030542679286,0.4043385764890934
50188,6,2188,152.44252882399974,2.757630447570861,0.1288331170135144,231816280588.49817,11.365143933445765,3455520853963.9883,0.19740176799267373,0.9815000408601036,2.4963798622526645,86.9639165655797,0.27985748569968355
51929,6,3929,150.3170518911308,2.9989047527316486,0.206306873595401,230692032357.1036,11.36303259511451,2353378180803.4565,0.14773571828567506,1.224260045849244,2.349599765955568,90.18527730458322,0.29804062744606236
44126,5,4126,141.59227036951876,2.991425323779989,0.2223022622637536,241040083088.1869,11.382089268369644,2551774618869.257,0.11105184040016661,1.2305067832875551,2.741134009533922,85.51942677299039,0.21063239781378212
56994,7,994,138.83995222569854,3.5263879991197844,0.29241088670558035,246395700970.7766,11.391633126134607,2285759440579.944,0.0552420042943824,1.5261562722747017,3.6996633300577586,92.82076145069632,0.053679854555236786
23834,2,7834,154.21213581037617,2.4110503794302893,0.1288251045015033,201894699682.11383,11.305124917611169,5910973526315.292,0.08785855660731287,1.3329058597113004,4.674979206774216,85.86767638012572,0.47476238772143403
59243,7,3243,149.08915663983893,2.1801777187753544,0.1617436830604908,189661097825.0616,11.277978260079527,5588539383497.985,0.0871015169467371,1.4050934566990332,4.381439146824686,80.19096733565942,0.5465603327314329
55890,6,7890,154.6492975831345,3.5799025336438683,0.2683405843206623,263427175804.82135,11.42066057583942,4139300322783.717,0.05472829137571968,1.4331941245071123,4.981393536047321,89.09224216857004,0.5064657066243314
32473,4,473,134.35408840740888,2.8572397553597773,0.2416236209828435,239227981656.4712,11.378811976187057,4886963750873.669,0.04645100108012807,1.490098384964376,5.501989218596362,80.37465334268744,0.07806066739582694
43762,5,3762,142.20748577753548,3.0059339747979976,0.1993321064303757,237266034029.0965,11.375235570962612,10154104115340.812,0.042997695829359875,1.432123906232785,8.680944773993653,87.98437407471268,0.10456115276763181
32008,4,8,149.47496466840906,3.404196492526308,0.22196569602384697,272530539783.4083,11.435415176397044,26106854928911.29,0.026283394259932136,1.3851634868496077,17.679854565236425,85.0891022565556,0.40427463980212675
722,0,722,141.79193466656483,3.250470740062439,0.282717057823644,249663953386.23236,11.397355843210285,2689040304021.8687,0.05522712872115806,1.4501532081104742,3.8854975639315126,86.31462889543414,0.28791939282758733
61911,7,5911,148.61396133052324,3.44876055116352,0.25317208127598867,262725571244.28577,11.419502344997037,10861167303657.258,0.028926078295889744,1.4500932150373873,10.928442825884996,87.5022180291516,0.4326966687506785
3076,0,3076,141.8764625835754,2.757110075924096,0.16931224814768064,231504489670.3825,11.364559417903283,2884366209283.8467,0.14719220732002924,1.168761960000717,2.5436978526621865,84.3476003173971,0.10550389978809774
10876,1,2876,135.49612411705445,3.6588702991834454,0.27622323780882274,269274696736.229,11.430195545449664,6398921189421.03,0.029772236511309398,1.4620427013318613,8.339740990509023,88.92026942152921,0.05284101410493589
20380,2,4380,141.56079609982172,3.8881321180434654,0.279515178092851,296924149969.4271,11.472645521853122,2478242883667.9775,0.08226314086527259,1.068400522102804,3.239575989014265,87.13293214457852,0.24877863011662882
6715,0,6715,132.37986070870713,2.8380099962952308,0.2335051331657978,234549052481.8156,11.370233682848088,5669967877636.459,0.04843365510823488,1.4485738972932434,5.894778241126501,81.39649564254054,0.05929365821513
28733,3,4733,141.2064466378741,1.5988789539569446,-0.02416235265156641,173247735598.84915,11.238667566958584,6459517050676.472,0.19247825865076493,1.040941574298714,3.2050855465304666,75.88938708290439,0.1385445221784063
31581,3,7581,142.4644206806301,4.2939416328691,0.32489844063086326,298635772467.5075,11.475141829024366,2745537881787.839,0.030276658254233285,1.5381630535344368,5.429529964681178,92.810757902854,0.11023745241128875
35212,4,3212,148.83382297920372,2.932748736819633,0.15963656746761945,245840365457.92798,11.390653192856211,14990741722208.076,0.07657591416686313,1.1884552301804345,8.050782910962575,85.4352107035362,0.27106342396752586
61894,7,5894,149.29812550362755,3.686171437924544,0.26113379455555064,266569439763.4895,11.42581035924577,6863699784338.331,0.037372594742143384,1.4543226892127064,7.820902775501128,93.00966305148845,0.2473300834755967
26936,3,2936,141.5393511094683,2.163393943571674,0.10611323646304971,211305626370.94897,11.324911061033973,8057003127229.483,0.10061496561165692,1.1916874934342703,4.857163891989711,76.05421145979514,0.2805186903702115
31341,3,7341,141.37376490218202,2.8325706196756766,0.21097723604986385,249017728033.7228,11.396230266425675,6884997428096.073,0.06108615048537067,1.3099577238186644,5.76679681066911,78.63957282318853,0.3067348041245421
17607,2,1607,138.62669134765733,2.4404554407845596,0.19705023564889967,204962365272.9333,11.311674124203186,6345395965168.03,0.05527098923024937,1.459225929665927,5.847217077502905,83.35752139436732,0.1936304721781188
41696,5,1696,144.5262707556104,3.6475635832649456,0.25912228678541127,276779002543.9677,11.442133139884492,11745379465548.521,0.027624417715123507,1.4027251931884028,11.717258708045893,88.7461009771288,0.2472603174391515
10436,1,2436,130.13436633466594,2.5585128191438793,0.1919099102988816,227174916432.77643,11.356360376967581,15183349081116.814,0.028300631530030207,1.472900684285007,12.286931589694584,77.96513529314915,0.06798047259168162
59367,7,3367,149.85369254283944,2.5530339534436712,0.22989462867613708,180499231570.96634,11.256475357348606,2507005952201.284,0.10819447206069022,1.4570022187152092,2.834851320802195,96.08941307786127,0.3806302467722022
48735,6,735,141.363236035965,3.672296688398118,0.2824999963261664,280794877202.3119,11.448389180298713,1437514260679.6062,0.11611893810618798,1.2309296621852857,2.0285707423311417,86.79524977184195,0.14866389329410262
32504,4,504,134.30222470042781,2.556475472286499,0.24417075791254916,215216084039.412,11.33287472493366,5176741169172.362,0.03907996013576347,1.5288193388308022,6.113661203725296,80.77121294797448,0.20091572078338932
